Player,Team,Jumper,Position,Height,DOB,Age,Matches
Jack Hutchinson,West Coast,44,Midfield,190.0,2001-11-10,24.0,0
Harvey Johnston,West Coast,24,Defender,185.0,2005-08-18,20.0,0
Tim Kelly,West Coast,11,MidfieldForward,184.0,1994-07-26,31.0,0
Josh Lindsay,West Coast,5,Defender,183.0,2007-04-07,19.0,0
Noah Long,West Coast,13,Forward,179.0,2004-08-23,21.0,0
Finlay Macrae,West Coast,45,MidfieldForward,188.0,2002-03-13,24.0,0
Ryan Maric,West Coast,23,Defender,196.0,2004-09-06,21.0,0
Tom McCarthy,West Coast,18,Defender,188.0,2000-07-12,25.0,0
Milan Murdock,West Coast,47,Midfield,180.0,2000-06-30,25.0,0
Jacob Newton,West Coast,46,Forward,179.0,2006-03-20,20.0,0
Matt Owies,West Coast,16,Forward,179.0,1997-03-19,29.0,0
Archer Reid,West Coast,22,Forward,203.0,2005-09-19,20.0,0
Harley Reid,West Coast,9,Midfield,187.0,2005-04-17,21.0,0
Deven Robertson,West Coast,40,MidfieldForward,185.0,2001-06-30,24.0,0
Fred Rodriguez,West Coast,39,Forward,,2000-01-01,26.0,0
Harry Schoenberg,West Coast,48,MidfieldForward,180.0,2001-02-21,25.0,0
Jobe Shanahan,West Coast,35,Forward,195.0,2006-08-02,19.0,0
Brandon Starcevich,West Coast,4,Defender,188.0,1999-07-24,26.0,0
Jake Waterman,West Coast,2,Forward,192.0,1998-05-06,27.0,0
Bailey J. Williams,West Coast,32,ForwardRuck,201.0,2000-04-17,26.0,0
Jack Williams,West Coast,34,Forward,198.0,2003-12-01,22.0,0
Tylah Williams,West Coast,36,MidfieldForward,176.0,2007-02-22,19.0,0
Elliot Yeo,West Coast,6,MidfieldForward,191.0,1993-10-01,32.0,0
Tylar Young,West Coast,20,Defender,196.0,1998-09-05,27.0,0
Oskar Baker,Western Bulldogs,13,DefenderMidfieldForward,184.0,1998-05-25,27.0,0
Marcus Bontempelli,Western Bulldogs,4,Midfield,194.0,1995-11-24,30.0,0
Lachlan Bramble,Western Bulldogs,29,DefenderForward,182.0,1998-04-19,28.0,0
Connor Budarick,Western Bulldogs,19,DefenderForward,175.0,2001-04-06,25.0,0
Jedd Busslinger,Western Bulldogs,5,Defender,198.0,2004-03-11,22.0,0
Lachlan Carmichael,Western Bulldogs,2,DefenderMidfield,184.0,2007-08-27,18.0,0
Luke Cleary,Western Bulldogs,36,Defender,191.0,2002-03-05,24.0,0
Nicholas Coffield,Western Bulldogs,17,Defender,191.0,1999-10-23,26.0,0
Jordan Croft,Western Bulldogs,16,Forward,201.0,2005-05-12,20.0,0
Bailey Dale,Western Bulldogs,31,Defender,188.0,1996-07-22,29.0,0
Sam Darcy,Western Bulldogs,10,Forward,208.0,2003-07-19,22.0,0
Will Darcy,Western Bulldogs,15,DefenderForward,196.0,2007-03-14,19.0,0
Sam Davidson,Western Bulldogs,42,MidfieldForward,190.0,2001-12-13,24.0,0
Josh Dolan,Western Bulldogs,26,Forward,177.0,2006-11-11,19.0,0
Louis Emmett,Western Bulldogs,25,Ruck,200.0,2007-03-23,19.0,0
Timothy English,Western Bulldogs,44,Ruck,208.0,1997-08-10,28.0,0
Joel Freijah,Western Bulldogs,27,MidfieldForward,191.0,2005-11-14,20.0,0
Harvey Gallagher,Western Bulldogs,12,Defender,181.0,2003-09-26,22.0,0
Riley Garcia,Western Bulldogs,38,MidfieldForward,178.0,2001-01-30,25.0,0
Ryan Gardner,Western Bulldogs,43,Defender,197.0,1997-06-01,28.0,0
James Harmes,Western Bulldogs,22,Midfield,186.0,1995-10-05,30.0,0
Cooper Hynes,Western Bulldogs,6,Forward,190.0,2006-02-28,20.0,0
Lachie Jaques,Western Bulldogs,11,Defender,184.0,2006-06-01,19.0,0
Arthur Jones,Western Bulldogs,32,MidfieldForward,180.0,2003-07-18,22.0,0
Luke Kennedy,Western Bulldogs,35,Midfield,181.0,2006-10-11,19.0,0
Matthew Kennedy,Western Bulldogs,8,Midfield,188.0,1997-04-06,29.0,0
Buku Khamis,Western Bulldogs,24,DefenderForward,191.0,2000-03-24,26.0,0
Will Lewis,Western Bulldogs,28,Forward,194.0,1999-05-05,26.0,0
Thomas Liberatore,Western Bulldogs,21,Midfield,184.0,1992-05-16,33.0,0
Rory Lobb,Western Bulldogs,7,Defender,207.0,1993-02-09,33.0,0
Lachlan McNeil,Western Bulldogs,30,Forward,184.0,2001-09-02,24.0,0
Aaron Naughton,Western Bulldogs,33,Forward,196.0,1999-11-30,26.0,0
James O'Donnell,Western Bulldogs,18,Defender,197.0,2002-08-31,23.0,0
Ed Richards,Western Bulldogs,20,Midfield,188.0,1999-07-03,26.0,0
Ryley Sanders,Western Bulldogs,9,MidfieldForward,186.0,2005-01-21,21.0,0
Michael Sellwood,Western Bulldogs,37,Defender,186.0,2003-10-02,22.0,0
Lachlan Smith,Western Bulldogs,40,Ruck,203.0,2005-10-05,20.0,0
Adam Treloar,Western Bulldogs,1,MidfieldForward,185.0,1993-03-09,33.0,0
Laitham Vandermeer,Western Bulldogs,23,Forward,182.0,1999-02-03,27.0,0
Zac Walker,Western Bulldogs,41,Defender,191.0,2006-03-03,20.0,0
Cody Weightman,Western Bulldogs,3,Forward,179.0,2001-01-15,25.0,0
Rhylee West,Western Bulldogs,14,Forward,183.0,2000-07-12,25.0,0
Bailey Williams,Western Bulldogs,34,DefenderMidfield,190.0,1997-10-10,28.0,0
