Player,Team,Round,Overall_Rating
Tom Barrass,Hawthorn,5,2.78
Tom Blamires,North Melbourne,5,2.42
Tom Brown,Richmond,5,1.83
Tom Campbell,Melbourne,5,3.07
Tom Cochrane,Port Adelaide,5,2.01
Tom Cole,West Coast,5,2.8
Tom De Koning,St Kilda,5,2.64
Tom Doedee,Brisbane,5,2.43
Tom Edwards,Essendon,5,1.86
Tom Green,GWS Giants,5,3.14
Tom Gross,West Coast,5,1.61
Tom Hanily,Sydney,5,2.04
Tom Lynch,Richmond,5,2.27
Tom McCarthy,West Coast,5,2.83
Tom McCartin,Sydney,5,2.73
Tom McDonald,Melbourne,5,2.86
Tom Papley,Sydney,5,2.42
Tom Powell,North Melbourne,5,2.3
Tom Sparrow,Melbourne,5,2.25
Touk Miller,Gold Coast,5,2.76
Trent Rivers,Melbourne,5,2.92
Tristan Xerri,North Melbourne,5,3.18
Ty Gallop,Brisbane,5,1.96
Tylar Young,West Coast,5,2.61
Tyler Brockman,West Coast,5,2.53
Tyler Sonsie,Richmond,5,2.04
Tyler Welsh,Adelaide,5,1.84
Tyrell Dewar,West Coast,5,2.09
Tyson Stengle,Geelong,5,2.82
Vigo Visentini,Essendon,5,2.32
Wade Derksen,Carlton,5,3.59
Wayne Milera,Adelaide,5,2.59
Wil Dawson,North Melbourne,5,2.19
Wil Parker,Collingwood,5,1.84
Wil Powell,Gold Coast,5,2.51
Will Ashcroft,Brisbane,5,2.74
Will Brodie,Port Adelaide,5,3.02
Will Day,Hawthorn,5,3.15
Will Edwards,Sydney,5,2.51
Will Graham,Gold Coast,5,2.5
Will Green,Sydney,5,2.69
Will Hayes,Collingwood,5,2.08
Will Hayward,Carlton,5,2.53
Will Lewis,Western Bulldogs,5,2.53
Will Lorenz,Port Adelaide,5,2.34
Will McLachlan,Brisbane,5,2.07
Will Setterfield,Essendon,5,2.68
Willem Drew,Port Adelaide,5,2.48
William McCabe,Hawthorn,5,2.24
Xavier Duursma,Essendon,5,2.19
Xavier Lindsay,Melbourne,5,2.28
Xavier O'Halloran,GWS Giants,5,1.83
Xavier Walsh,Port Adelaide,5,2.81
Zac Bailey,Brisbane,5,2.5
Zac Banch,North Melbourne,5,1.99
Zac Fisher,North Melbourne,5,2.29
Zac Taylor,Adelaide,5,2.27
Zac Walker,Western Bulldogs,5,1.97
Zach Guthrie,Geelong,5,2.44
Zach Reid,Essendon,5,1.69
Zachary Merrett,Essendon,5,2.78
Zachary Williams,Carlton,5,2.77
Zak Butters,Port Adelaide,5,3.1
Zak Evans,Gold Coast,5,2.34
Zak Johnson,Essendon,5,1.86
Zane Duursma,North Melbourne,5,2.28
Zane Zakostelsky,Brisbane,5,2.07
